Company,Date,Open,High,Low,Close,Volume
AlphaCorp,1/1/2019,217.86,218.15,211.31,215.64,185203
AlphaCorp,1/2/2019,214.93,218.82,214.65,215.57,331879
AlphaCorp,1/3/2019,214.93,215.85,212.47,213.99,431909
AlphaCorp,1/4/2019,213,214.21,210.38,214.09,880910
AlphaCorp,1/5/2019,213.82,216.1,209.03,212.96,915778
AlphaCorp,1/6/2019,212.72,217.64,208.91,211.24,341236
AlphaCorp,1/7/2019,210.37,215.11,203.24,208.07,215041
AlphaCorp,1/8/2019,207.84,208.67,206.69,208.59,261995
AlphaCorp,1/9/2019,208.58,208.75,201.99,206.54,470337
AlphaCorp,1/10/2019,206.87,208.43,203.95,206.55,351097
AlphaCorp,1/11/2019,207.23,209.48,204.33,206.31,633587
AlphaCorp,1/12/2019,206.51,211.25,206.07,206.64,792038
AlphaCorp,1/13/2019,207.33,212.2,204.63,208.46,358951
AlphaCorp,1/14/2019,208.17,209.62,205.46,208.22,246584
AlphaCorp,1/15/2019,207.25,209.37,203.59,205.56,143767
AlphaCorp,1/16/2019,204.57,208.65,200.01,203.54,23986
AlphaCorp,1/17/2019,204.39,208.6,199.82,205.34,804824
AlphaCorp,1/18/2019,205.59,209.85,205.27,208.2,831654
AlphaCorp,1/19/2019,208.38,212.17,205.57,210.8,501234
AlphaCorp,1/20/2019,210.04,216.08,206.24,212.51,633094
AlphaCorp,1/21/2019,212.56,214.7,212.36,212.49,978140
AlphaCorp,1/22/2019,211.89,219.5,209.51,215.02,195340
AlphaCorp,1/23/2019,214.52,218.38,210.74,216.33,174899
AlphaCorp,1/24/2019,217.22,220.25,213.75,217.26,425515
AlphaCorp,1/25/2019,217.87,220.63,213.41,219.7,162906
AlphaCorp,1/26/2019,219.35,220.62,217.57,220.01,397261
AlphaCorp,1/27/2019,219.86,223.95,215.05,219.35,509046
AlphaCorp,1/28/2019,218.68,221.35,215.52,217.94,238576
AlphaCorp,1/29/2019,218.83,220.45,215.55,218.14,603128
AlphaCorp,1/30/2019,217.95,218.27,215.08,216.35,224283
AlphaCorp,1/31/2019,215.95,217.37,215.73,215.91,823168
AlphaCorp,2/1/2019,216.86,218.92,213.34,213.51,441839
AlphaCorp,2/2/2019,212.8,215.25,207.49,212.42,490671
AlphaCorp,2/3/2019,212.61,213.61,210.76,213.21,940192
